,symbol,metric,value
3455,HCA,1y Target Est,353.67 
3456,DOC,Previous Close,19.29 
3457,DOC,Open,19.19 
3458,DOC,Bid,19.35 x 3200
3459,DOC,Ask,19.36 x 1800
3460,DOC,Day's Range,18.94 - 19.47 
3461,DOC,52 Week Range,15.24 - 22.38 
3462,DOC,Volume,"3,310,715 "
3463,DOC,Avg. Volume,"5,389,015 "
3464,DOC,Market Cap (intraday),13.534B 
3465,DOC,Beta (5Y Monthly),1.09
3466,DOC,PE Ratio (TTM),54.94 
3467,DOC,EPS (TTM),0.35 
3468,DOC,Earnings Date,"May 2, 2024 - May 6, 2024"
3469,DOC,Forward Dividend & Yield,1.20 (6.22%)
3470,DOC,Ex-Dividend Date,"May 3, 2024"
3471,DOC,1y Target Est,22.07 
3472,HSIC,Previous Close,67.42 
3473,HSIC,Open,67.26 
3474,HSIC,Bid,66.57 x 200
3475,HSIC,Ask,66.93 x 100
3476,HSIC,Day's Range,66.57 - 67.26 
3477,HSIC,52 Week Range,60.01 - 82.63 
3478,HSIC,Volume,"41,192 "
3479,HSIC,Avg. Volume,"1,013,763 "
3480,HSIC,Market Cap (intraday),8.542B 
3481,HSIC,Beta (5Y Monthly),0.90
3482,HSIC,PE Ratio (TTM),22.46 
3483,HSIC,EPS (TTM),2.97 
3484,HSIC,Earnings Date,"Aug 5, 2024 - Aug 9, 2024"
3485,HSIC,Forward Dividend & Yield,--
3486,HSIC,Ex-Dividend Date,--
3487,HSIC,1y Target Est,78.64 
3488,HSY,Previous Close,196.06 
3489,HSY,Open,195.69 
3490,HSY,Bid,--
3491,HSY,Ask,--
3492,HSY,Day's Range,189.59 - 196.26 
3493,HSY,52 Week Range,178.82 - 263.29 
3494,HSY,Volume,"1,411,331 "
3495,HSY,Avg. Volume,"1,924,896 "
3496,HSY,Market Cap (intraday),38.65B 
3497,HSY,Beta (5Y Monthly),0.36
3498,HSY,PE Ratio (TTM),18.94 
3499,HSY,EPS (TTM),10.09 
3500,HSY,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
3501,HSY,Forward Dividend & Yield,5.48 (2.87%)
3502,HSY,Ex-Dividend Date,"May 16, 2024"
3503,HSY,1y Target Est,207.69 
3504,HES,Previous Close,147.81 
3505,HES,Open,146.89 
3506,HES,Bid,147.49 x 1000
3507,HES,Ask,147.55 x 800
3508,HES,Day's Range,145.93 - 148.18 
3509,HES,52 Week Range,129.12 - 167.75 
3510,HES,Volume,"574,835 "
3511,HES,Avg. Volume,"2,268,471 "
3512,HES,Market Cap (intraday),45.41B 
3513,HES,Beta (5Y Monthly),1.20
3514,HES,PE Ratio (TTM),22.60 
3515,HES,EPS (TTM),6.52 
3516,HES,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
3517,HES,Forward Dividend & Yield,1.75 (1.18%)
3518,HES,Ex-Dividend Date,"Jun 14, 2024"
3519,HES,1y Target Est,176.07 
3520,HPE,Previous Close,20.59 
3521,HPE,Open,20.50 
3522,HPE,Bid,20.27 x 2900
3523,HPE,Ask,20.27 x 1400
3524,HPE,Day's Range,20.19 - 20.68 
3525,HPE,52 Week Range,14.47 - 20.68 
3526,HPE,Volume,"3,387,055 "
3527,HPE,Avg. Volume,"15,841,258 "
3528,HPE,Market Cap (intraday),26.52B 
3529,HPE,Beta (5Y Monthly),1.19
3530,HPE,PE Ratio (TTM),14.89 
3531,HPE,EPS (TTM),1.37 
3532,HPE,Earnings Date,"Aug 27, 2024 - Sep 2, 2024"
3533,HPE,Forward Dividend & Yield,0.52 (2.53%)
3534,HPE,Ex-Dividend Date,"Jun 18, 2024"
3535,HPE,1y Target Est,20.28 
3536,HLT,Previous Close,204.82 
3537,HLT,Open,201.57 
3538,HLT,Bid,--
3539,HLT,Ask,--
3540,HLT,Day's Range,203.82 - 204.24 
3541,HLT,52 Week Range,136.76 - 215.79 
3542,HLT,Volume,"7,402 "
3543,HLT,Avg. Volume,"1,599,593 "
3544,HLT,Market Cap (intraday),50.972B 
3545,HLT,Beta (5Y Monthly),1.31
3546,HLT,PE Ratio (TTM),44.22 
3547,HLT,EPS (TTM),4.61 
3548,HLT,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
3549,HLT,Forward Dividend & Yield,0.60 (0.29%)
3550,HLT,Ex-Dividend Date,"May 16, 2024"
3551,HLT,1y Target Est,216.85 
3552,HOLX,Previous Close,73.97 
3553,HOLX,Open,73.67 
3554,HOLX,Bid,72.94 x 300
3555,HOLX,Ask,73.08 x 300
3556,HOLX,Day's Range,72.90 - 73.67 
3557,HOLX,52 Week Range,64.02 - 82.45 
3558,HOLX,Volume,"261,232 "
3559,HOLX,Avg. Volume,"1,513,314 "
3560,HOLX,Market Cap (intraday),17.041B 
3561,HOLX,Beta (5Y Monthly),1.00
3562,HOLX,PE Ratio (TTM),37.64 
3563,HOLX,EPS (TTM),1.94 
3564,HOLX,Earnings Date,"Jul 29, 2024 - Aug 2, 2024"
3565,HOLX,Forward Dividend & Yield,--
3566,HOLX,Ex-Dividend Date,--
3567,HOLX,1y Target Est,86.62 
3568,HD,Previous Close,332.56 
3569,HD,Open,333.00 
3570,HD,Bid,333.18 x 800
3571,HD,Ask,333.37 x 1800
3572,HD,Day's Range,330.32 - 334.71 
3573,HD,52 Week Range,274.26 - 396.87 
3574,HD,Volume,"917,204 "
3575,HD,Avg. Volume,"3,684,249 "
3576,HD,Market Cap (intraday),330.748B 
3577,HD,Beta (5Y Monthly),1.00
3578,HD,PE Ratio (TTM),22.34 
3579,HD,EPS (TTM),14.93 
3580,HD,Earnings Date,"Aug 13, 2024"
3581,HD,Forward Dividend & Yield,9.00 (2.71%)
3582,HD,Ex-Dividend Date,"May 30, 2024"
3583,HD,1y Target Est,381.20 
3584,HON,Previous Close,208.78 
3585,HON,Open,209.77 
3586,HON,Bid,210.68 x 100
3587,HON,Ask,210.83 x 100
3588,HON,Day's Range,209.13 - 211.06 
3589,HON,52 Week Range,174.88 - 211.06 
3590,HON,Volume,"2,647,199 "
3591,HON,Avg. Volume,"2,810,755 "
3592,HON,Market Cap (intraday),137.231B 
3593,HON,Beta (5Y Monthly),1.03
3594,HON,PE Ratio (TTM),24.45 
3595,HON,EPS (TTM),8.62 
3596,HON,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
3597,HON,Forward Dividend & Yield,4.32 (2.05%)
3598,HON,Ex-Dividend Date,"May 16, 2024"
3599,HON,1y Target Est,220.22 
3600,HRL,Previous Close,30.58 
3601,HRL,Open,30.44 
3602,HRL,Bid,30.51 x 2200
3603,HRL,Ask,30.53 x 1400
3604,HRL,Day's Range,30.35 - 30.61 
3605,HRL,52 Week Range,28.51 - 41.73 
3606,HRL,Volume,"418,298 "
3607,HRL,Avg. Volume,"2,632,966 "
3608,HRL,Market Cap (intraday),16.726B 
3609,HRL,Beta (5Y Monthly),0.25
3610,HRL,PE Ratio (TTM),21.79 
3611,HRL,EPS (TTM),1.40 
3612,HRL,Earnings Date,"Aug 29, 2024 - Sep 2, 2024"
3613,HRL,Forward Dividend & Yield,1.13 (3.70%)
3614,HRL,Ex-Dividend Date,"Jul 15, 2024"
3615,HRL,1y Target Est,32.17 
3616,HST,Previous Close,17.81 
3617,HST,Open,17.77 
3618,HST,Bid,17.06 x 100
3619,HST,Ask,18.80 x 100
3620,HST,Day's Range,17.73 - 18.05 
3621,HST,52 Week Range,14.92 - 21.31 
3622,HST,Volume,"1,066,074 "
3623,HST,Avg. Volume,"5,756,546 "
3624,HST,Market Cap (intraday),12.801B 
3625,HST,Beta (5Y Monthly),1.33
3626,HST,PE Ratio (TTM),17.56 
3627,HST,EPS (TTM),1.02 
3628,HST,Earnings Date,"Jul 31, 2024"
3629,HST,Forward Dividend & Yield,0.80 (4.49%)
3630,HST,Ex-Dividend Date,"Mar 27, 2024"
3631,HST,1y Target Est,22.63 
3632,HWM,Previous Close,83.65 
3633,HWM,Open,83.38 
3634,HWM,Bid,83.20 x 800
3635,HWM,Ask,83.22 x 800
3636,HWM,Day's Range,82.33 - 83.66 
3637,HWM,52 Week Range,42.94 - 85.52 
3638,HWM,Volume,"419,931 "
3639,HWM,Avg. Volume,"3,206,426 "
3640,HWM,Market Cap (intraday),33.924B 
3641,HWM,Beta (5Y Monthly),1.33
3642,HWM,PE Ratio (TTM),40.15 
3643,HWM,EPS (TTM),2.07 
3644,HWM,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
3645,HWM,Forward Dividend & Yield,0.19 (0.23%)
3646,HWM,Ex-Dividend Date,"May 9, 2024"
3647,HWM,1y Target Est,86.83 
3648,HPQ,Previous Close,36.45 
3649,HPQ,Open,36.30 
3650,HPQ,Bid,35.00 x 1000
3651,HPQ,Ask,--
3652,HPQ,Day's Range,35.49 - 36.35 
3653,HPQ,52 Week Range,25.22 - 39.52 
3654,HPQ,Volume,"8,723,509 "
3655,HPQ,Avg. Volume,"7,924,220 "
3656,HPQ,Market Cap (intraday),35.404B 
3657,HPQ,Beta (5Y Monthly),1.13
3658,HPQ,PE Ratio (TTM),12.22 
3659,HPQ,EPS (TTM),2.96 
3660,HPQ,Earnings Date,"Aug 27, 2024 - Sep 2, 2024"
3661,HPQ,Forward Dividend & Yield,1.10 (3.05%)
3662,HPQ,Ex-Dividend Date,"Jun 12, 2024"
3663,HPQ,1y Target Est,35.04 
3664,HUBB,Previous Close,413.00 
3665,HUBB,Open,414.44 
3666,HUBB,Bid,403.99 x 900
3667,HUBB,Ask,404.90 x 800
3668,HUBB,Day's Range,402.32 - 415.76 
3669,HUBB,52 Week Range,248.37 - 429.61 
3670,HUBB,Volume,"222,870 "
3671,HUBB,Avg. Volume,"439,852 "
3672,HUBB,Market Cap (intraday),21.606B 
3673,HUBB,Beta (5Y Monthly),0.96
3674,HUBB,PE Ratio (TTM),29.99 
3675,HUBB,EPS (TTM),13.42 
3676,HUBB,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
3677,HUBB,Forward Dividend & Yield,4.88 (1.18%)
3678,HUBB,Ex-Dividend Date,"May 31, 2024"
3679,HUBB,1y Target Est,411.14 
3680,HUM,Previous Close,349.34 
3681,HUM,Open,349.79 
3682,HUM,Bid,351.71 x 900
3683,HUM,Ask,352.11 x 800
3684,HUM,Day's Range,349.97 - 354.62 
3685,HUM,52 Week Range,298.61 - 530.54 
3686,HUM,Volume,"306,523 "
3687,HUM,Avg. Volume,"1,658,225 "
3688,HUM,Market Cap (intraday),42.332B 
3689,HUM,Beta (5Y Monthly),0.53
3690,HUM,PE Ratio (TTM),21.63 
3691,HUM,EPS (TTM),16.24 
3692,HUM,Earnings Date,"Aug 1, 2024"
3693,HUM,Forward Dividend & Yield,3.54 (1.01%)
3694,HUM,Ex-Dividend Date,"Jun 28, 2024"
3695,HUM,1y Target Est,368.76 
3696,HBAN,Previous Close,12.58 
3697,HBAN,Open,12.50 
3698,HBAN,Bid,12.34 x 2700
3699,HBAN,Ask,12.37 x 1100
3700,HBAN,Day's Range,12.29 - 12.53 
3701,HBAN,52 Week Range,9.25 - 14.30 
3702,HBAN,Volume,"6,097,129 "
3703,HBAN,Avg. Volume,"15,059,933 "
3704,HBAN,Market Cap (intraday),17.918B 
3705,HBAN,Beta (5Y Monthly),1.10
3706,HBAN,PE Ratio (TTM),11.14 
3707,HBAN,EPS (TTM),1.11 
3708,HBAN,Earnings Date,"Jul 19, 2024"
3709,HBAN,Forward Dividend & Yield,0.62 (4.92%)
3710,HBAN,Ex-Dividend Date,"Jun 14, 2024"
3711,HBAN,1y Target Est,15.55 
3712,HII,Previous Close,253.10 
3713,HII,Open,255.18 
3714,HII,Bid,--
3715,HII,Ask,299.45 x 800
3716,HII,Day's Range,249.82 - 255.70 
3717,HII,52 Week Range,199.11 - 299.50 
3718,HII,Volume,"196,228 "
3719,HII,Avg. Volume,"330,434 "
3720,HII,Market Cap (intraday),9.873B 
3721,HII,Beta (5Y Monthly),0.60
3722,HII,PE Ratio (TTM),14.15 
3723,HII,EPS (TTM),17.70 
3724,HII,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
3725,HII,Forward Dividend & Yield,5.20 (2.08%)
3726,HII,Ex-Dividend Date,"May 31, 2024"
3727,HII,1y Target Est,283.59 
3728,IBM,Previous Close,170.01 
3729,IBM,Open,169.55 
3730,IBM,Bid,170.00 x 900
3731,IBM,Ask,169.95 x 800
3732,IBM,Day's Range,168.88 - 170.76 
3733,IBM,52 Week Range,129.18 - 199.18 
3734,IBM,Volume,"3,340,171 "
3735,IBM,Avg. Volume,"4,074,253 "
3736,IBM,Market Cap (intraday),156.512B 
3737,IBM,Beta (5Y Monthly),0.72
3738,IBM,PE Ratio (TTM),19.30 
3739,IBM,EPS (TTM),8.83 
3740,IBM,Earnings Date,"Jul 24, 2024 - Jul 25, 2024"
3741,IBM,Forward Dividend & Yield,6.68 (3.92%)
3742,IBM,Ex-Dividend Date,"May 9, 2024"
3743,IBM,1y Target Est,179.86 
3744,IEX,Previous Close,206.11 
3745,IEX,Open,205.71 
3746,IEX,Bid,--
3747,IEX,Ask,--
3748,IEX,Day's Range,205.20 - 207.73 
3749,IEX,52 Week Range,183.77 - 246.36 
3750,IEX,Volume,"526,618 "
3751,IEX,Avg. Volume,"391,788 "
3752,IEX,Market Cap (intraday),15.602B 
3753,IEX,Beta (5Y Monthly),0.98
3754,IEX,PE Ratio (TTM),27.08 
3755,IEX,EPS (TTM),7.61 
3756,IEX,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
3757,IEX,Forward Dividend & Yield,2.76 (1.34%)
3758,IEX,Ex-Dividend Date,"May 16, 2024"
3759,IEX,1y Target Est,242.26 
3760,IDXX,Previous Close,497.51 
3761,IDXX,Open,492.74 
3762,IDXX,Bid,508.29 x 100
3763,IDXX,Ask,508.60 x 100
3764,IDXX,Day's Range,492.74 - 511.92 
3765,IDXX,52 Week Range,372.50 - 583.39 
3766,IDXX,Volume,"557,906 "
3767,IDXX,Avg. Volume,"476,333 "
3768,IDXX,Market Cap (intraday),41.976B 
3769,IDXX,Beta (5Y Monthly),1.33
3770,IDXX,PE Ratio (TTM),49.35 
3771,IDXX,EPS (TTM),10.30 
3772,IDXX,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
3773,IDXX,Forward Dividend & Yield,--
3774,IDXX,Ex-Dividend Date,--
3775,IDXX,1y Target Est,574.49 
3776,ITW,Previous Close,241.40 
3777,ITW,Open,240.70 
3778,ITW,Bid,--
3779,ITW,Ask,--
3780,ITW,Day's Range,239.94 - 241.96 
3781,ITW,52 Week Range,217.50 - 271.15 
3782,ITW,Volume,"216,932 "
3783,ITW,Avg. Volume,"1,265,258 "
3784,ITW,Market Cap (intraday),71.828B 
3785,ITW,Beta (5Y Monthly),1.12
3786,ITW,PE Ratio (TTM),23.74 
3787,ITW,EPS (TTM),10.14 
3788,ITW,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
3789,ITW,Forward Dividend & Yield,5.60 (2.32%)
3790,ITW,Ex-Dividend Date,"Jun 28, 2024"
3791,ITW,1y Target Est,251.60 
3792,INCY,Previous Close,59.03 
3793,INCY,Open,58.91 
3794,INCY,Bid,54.28 x 200
3795,INCY,Ask,63.81 x 200
3796,INCY,Day's Range,58.76 - 59.27 
3797,INCY,52 Week Range,50.27 - 67.36 
3798,INCY,Volume,"406,911 "
3799,INCY,Avg. Volume,"2,417,279 "
3800,INCY,Market Cap (intraday),13.237B 
3801,INCY,Beta (5Y Monthly),0.74
3802,INCY,PE Ratio (TTM),17.84 
3803,INCY,EPS (TTM),3.30 
3804,INCY,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
3805,INCY,Forward Dividend & Yield,--
3806,INCY,Ex-Dividend Date,--
3807,INCY,1y Target Est,71.87 
3808,IR,Previous Close,89.13 
3809,IR,Open,89.03 
3810,IR,Bid,--
3811,IR,Ask,--
3812,IR,Day's Range,89.03 - 91.24 
3813,IR,52 Week Range,59.20 - 96.67 
3814,IR,Volume,"2,123,925 "
3815,IR,Avg. Volume,"2,711,766 "
3816,IR,Market Cap (intraday),36.808B 
3817,IR,Beta (5Y Monthly),1.43
3818,IR,PE Ratio (TTM),45.37 
3819,IR,EPS (TTM),2.01 
3820,IR,Earnings Date,"Jul 31, 2024"
3821,IR,Forward Dividend & Yield,0.08 (0.09%)
3822,IR,Ex-Dividend Date,"May 15, 2024"
3823,IR,1y Target Est,100.50 
3824,PODD,Previous Close,191.42 
3825,PODD,Open,189.32 
3826,PODD,Bid,191.89 x 100
3827,PODD,Ask,192.23 x 100
3828,PODD,Day's Range,186.94 - 192.35 
3829,PODD,52 Week Range,125.82 - 298.95 
3830,PODD,Volume,"532,105 "
3831,PODD,Avg. Volume,"845,292 "
3832,PODD,Market Cap (intraday),13.45B 
3833,PODD,Beta (5Y Monthly),1.14
3834,PODD,PE Ratio (TTM),57.67 
3835,PODD,EPS (TTM),3.33 
3836,PODD,Earnings Date,"Aug 6, 2024 - Aug 12, 2024"
3837,PODD,Forward Dividend & Yield,--
3838,PODD,Ex-Dividend Date,--
3839,PODD,1y Target Est,233.07 
3840,INTC,Previous Close,30.91 
3841,INTC,Open,30.77 
3842,INTC,Bid,30.85 x 600
3843,INTC,Ask,30.93 x 100
3844,INTC,Day's Range,30.53 - 31.03 
3845,INTC,52 Week Range,29.73 - 51.28 
3846,INTC,Volume,"7,369,661 "
3847,INTC,Avg. Volume,"49,545,423 "
3848,INTC,Market Cap (intraday),131.41B 
3849,INTC,Beta (5Y Monthly),1.06
3850,INTC,PE Ratio (TTM),31.82 
3851,INTC,EPS (TTM),0.97 
3852,INTC,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
3853,INTC,Forward Dividend & Yield,0.50 (1.62%)
3854,INTC,Ex-Dividend Date,"May 6, 2024"
3855,INTC,1y Target Est,35.72 
3856,ICE,Previous Close,134.86 
3857,ICE,Open,134.35 
3858,ICE,Bid,134.03 x 800
3859,ICE,Ask,134.03 x 900
3860,ICE,Day's Range,133.56 - 134.80 
3861,ICE,52 Week Range,104.49 - 140.43 
3862,ICE,Volume,"1,810,299 "
3863,ICE,Avg. Volume,"2,313,509 "
3864,ICE,Market Cap (intraday),76.74B 
3865,ICE,Beta (5Y Monthly),1.06
3866,ICE,PE Ratio (TTM),30.76 
3867,ICE,EPS (TTM),4.35 
3868,ICE,Earnings Date,"Aug 1, 2024"
3869,ICE,Forward Dividend & Yield,1.80 (1.35%)
3870,ICE,Ex-Dividend Date,"Jun 12, 2024"
3871,ICE,1y Target Est,153.77 
3872,IFF,Previous Close,98.48 
3873,IFF,Open,98.12 
3874,IFF,Bid,96.82 x 800
3875,IFF,Ask,96.82 x 800
3876,IFF,Day's Range,96.69 - 98.41 
3877,IFF,52 Week Range,62.11 - 99.91 
3878,IFF,Volume,"1,140,498 "
3879,IFF,Avg. Volume,"1,845,073 "
3880,IFF,Market Cap (intraday),24.71B 
3881,IFF,Beta (5Y Monthly),1.28
3882,IFF,PE Ratio (TTM),-- 
3883,IFF,EPS (TTM),-9.78 
3884,IFF,Earnings Date,"Aug 5, 2024 - Aug 9, 2024"
3885,IFF,Forward Dividend & Yield,1.60 (1.62%)
3886,IFF,Ex-Dividend Date,"Jun 21, 2024"
3887,IFF,1y Target Est,97.16 
3888,IP,Previous Close,44.79 
3889,IP,Open,45.07 
3890,IP,Bid,44.75 x 1000
3891,IP,Ask,44.76 x 800
3892,IP,Day's Range,44.68 - 45.40 
3893,IP,52 Week Range,30.23 - 46.34 
3894,IP,Volume,"1,603,746 "
3895,IP,Avg. Volume,"7,108,774 "
3896,IP,Market Cap (intraday),15.571B 
3897,IP,Beta (5Y Monthly),1.03
3898,IP,PE Ratio (TTM),84.58 
3899,IP,EPS (TTM),0.53 
3900,IP,Earnings Date,"Jul 25, 2024"
3901,IP,Forward Dividend & Yield,1.85 (4.13%)
3902,IP,Ex-Dividend Date,"May 23, 2024"
3903,IP,1y Target Est,45.50 
3904,IPG,Previous Close,30.72 
3905,IPG,Open,30.62 
3906,IPG,Bid,30.42 x 900
3907,IPG,Ask,30.43 x 1000
3908,IPG,Day's Range,30.31 - 30.64 
3909,IPG,52 Week Range,27.20 - 40.95 
3910,IPG,Volume,"1,532,941 "
3911,IPG,Avg. Volume,"3,671,507 "
3912,IPG,Market Cap (intraday),11.51B 
3913,IPG,Beta (5Y Monthly),1.12
3914,IPG,PE Ratio (TTM),10.85 
3915,IPG,EPS (TTM),2.81 
3916,IPG,Earnings Date,"Jul 19, 2024 - Jul 23, 2024"
3917,IPG,Forward Dividend & Yield,1.32 (4.30%)
3918,IPG,Ex-Dividend Date,"Jun 4, 2024"
3919,IPG,1y Target Est,34.86 
3920,INTU,Previous Close,572.06 
3921,INTU,Open,571.88 
3922,INTU,Bid,562.92 x 200
3923,INTU,Ask,563.82 x 100
3924,INTU,Day's Range,560.53 - 571.88 
3925,INTU,52 Week Range,419.30 - 676.62 
3926,INTU,Volume,"258,550 "
3927,INTU,Avg. Volume,"1,348,084 "
3928,INTU,Market Cap (intraday),157.474B 
3929,INTU,Beta (5Y Monthly),1.22
3930,INTU,PE Ratio (TTM),52.11 
3931,INTU,EPS (TTM),10.81 
3932,INTU,Earnings Date,"Aug 22, 2024 - Aug 26, 2024"
3933,INTU,Forward Dividend & Yield,3.60 (0.63%)
3934,INTU,Ex-Dividend Date,"Jul 10, 2024"
3935,INTU,1y Target Est,712.25 
3936,ISRG,Previous Close,418.38 
3937,ISRG,Open,417.00 
3938,ISRG,Bid,416.68 x 100
3939,ISRG,Ask,417.48 x 100
3940,ISRG,Day's Range,415.20 - 419.78 
3941,ISRG,52 Week Range,254.85 - 420.57 
3942,ISRG,Volume,"220,732 "
3943,ISRG,Avg. Volume,"1,373,655 "
3944,ISRG,Market Cap (intraday),147.951B 
3945,ISRG,Beta (5Y Monthly),1.39
3946,ISRG,PE Ratio (TTM),75.56 
3947,ISRG,EPS (TTM),5.52 
3948,ISRG,Earnings Date,"Jul 18, 2024 - Jul 22, 2024"
3949,ISRG,Forward Dividend & Yield,--
3950,ISRG,Ex-Dividend Date,--
3951,ISRG,1y Target Est,427.37 
3952,IVZ,Previous Close,15.03 
3953,IVZ,Open,14.90 
3954,IVZ,Bid,--
3955,IVZ,Ask,15.94 x 3000
3956,IVZ,Day's Range,14.84 - 15.27 
3957,IVZ,52 Week Range,12.48 - 18.71 
3958,IVZ,Volume,"4,715,582 "
3959,IVZ,Avg. Volume,"4,343,225 "
3960,IVZ,Market Cap (intraday),6.833B 
3961,IVZ,Beta (5Y Monthly),1.45
3962,IVZ,PE Ratio (TTM),-- 
3963,IVZ,EPS (TTM),-0.74 
3964,IVZ,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
3965,IVZ,Forward Dividend & Yield,0.82 (5.40%)
3966,IVZ,Ex-Dividend Date,"May 13, 2024"
3967,IVZ,1y Target Est,16.69 
3968,IQV,Previous Close,219.23 
3969,IQV,Open,216.90 
3970,IQV,Bid,215.43 x 800
3971,IQV,Ask,215.64 x 1000
3972,IQV,Day's Range,213.92 - 216.96 
3973,IQV,52 Week Range,167.42 - 261.73 
3974,IQV,Volume,"1,580,607 "
3975,IQV,Avg. Volume,"957,417 "
3976,IQV,Market Cap (intraday),39.324B 
3977,IQV,Beta (5Y Monthly),1.54
3978,IQV,PE Ratio (TTM),29.48 
3979,IQV,EPS (TTM),7.32 
3980,IQV,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
3981,IQV,Forward Dividend & Yield,--
3982,IQV,Ex-Dividend Date,--
3983,IQV,1y Target Est,271.17 
3984,IRM,Previous Close,82.34 
3985,IRM,Open,82.83 
3986,IRM,Bid,--
3987,IRM,Ask,--
3988,IRM,Day's Range,82.36 - 84.95 
3989,IRM,52 Week Range,53.74 - 84.95 
3990,IRM,Volume,"2,162,890 "
3991,IRM,Avg. Volume,"1,264,593 "
3992,IRM,Market Cap (intraday),24.869B 
3993,IRM,Beta (5Y Monthly),0.97
3994,IRM,PE Ratio (TTM),128.55 
3995,IRM,EPS (TTM),0.66 
3996,IRM,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
3997,IRM,Forward Dividend & Yield,2.60 (3.16%)
3998,IRM,Ex-Dividend Date,"Jun 17, 2024"
3999,IRM,1y Target Est,82.57 
4000,JBL,Previous Close,113.88 
4001,JBL,Open,113.13 
4002,JBL,Bid,--
4003,JBL,Ask,--
4004,JBL,Day's Range,113.13 - 117.26 
4005,JBL,52 Week Range,97.88 - 156.94 
4006,JBL,Volume,"946,594 "
4007,JBL,Avg. Volume,"1,460,458 "
4008,JBL,Market Cap (intraday),14.122B 
4009,JBL,Beta (5Y Monthly),1.35
4010,JBL,PE Ratio (TTM),10.16 
4011,JBL,EPS (TTM),11.53 
4012,JBL,Earnings Date,"Jun 20, 2024"
4013,JBL,Forward Dividend & Yield,0.32 (0.27%)
4014,JBL,Ex-Dividend Date,"May 14, 2024"
4015,JBL,1y Target Est,147.57 
4016,J,Previous Close,139.06 
4017,J,Open,138.83 
4018,J,Bid,--
4019,J,Ask,--
4020,J,Day's Range,138.57 - 140.16 
4021,J,52 Week Range,114.09 - 154.50 
4022,J,Volume,"527,884 "
4023,J,Avg. Volume,"590,531 "
4024,J,Market Cap (intraday),17.532B 
4025,J,Beta (5Y Monthly),0.73
4026,J,PE Ratio (TTM),26.98 
4027,J,EPS (TTM),5.19 
4028,J,Earnings Date,--
4029,J,Forward Dividend & Yield,1.16 (0.83%)
4030,J,Ex-Dividend Date,"May 23, 2024"
4031,J,1y Target Est,159.91 
4032,JNJ,Previous Close,147.13 
4033,JNJ,Open,146.81 
4034,JNJ,Bid,146.05 x 1000
4035,JNJ,Ask,146.08 x 1100
4036,JNJ,Day's Range,145.44 - 147.00 
4037,JNJ,52 Week Range,143.13 - 175.97 
4038,JNJ,Volume,"1,474,927 "
4039,JNJ,Avg. Volume,"7,703,555 "
4040,JNJ,Market Cap (intraday),351.447B 
4041,JNJ,Beta (5Y Monthly),0.53
4042,JNJ,PE Ratio (TTM),21.73 
4043,JNJ,EPS (TTM),6.72 
4044,JNJ,Earnings Date,"Jul 17, 2024"
4045,JNJ,Forward Dividend & Yield,4.96 (3.37%)
4046,JNJ,Ex-Dividend Date,"May 20, 2024"
4047,JNJ,1y Target Est,159.53 
4048,JCI,Previous Close,70.79 
4049,JCI,Open,70.32 
4050,JCI,Bid,70.24 x 1200
4051,JCI,Ask,70.26 x 1000
4052,JCI,Day's Range,69.77 - 70.34 
4053,JCI,52 Week Range,47.90 - 74.23 
4054,JCI,Volume,"521,649 "
4055,JCI,Avg. Volume,"5,389,561 "
4056,JCI,Market Cap (intraday),47.314B 
4057,JCI,Beta (5Y Monthly),1.31
4058,JCI,PE Ratio (TTM),26.11 
4059,JCI,EPS (TTM),2.69 
4060,JCI,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
4061,JCI,Forward Dividend & Yield,1.48 (2.09%)
4062,JCI,Ex-Dividend Date,"Mar 22, 2024"
4063,JCI,1y Target Est,68.20 
4064,JPM,Previous Close,199.95 
4065,JPM,Open,199.24 
4066,JPM,Bid,198.40 x 800
4067,JPM,Ask,--
4068,JPM,Day's Range,198.44 - 200.84 
4069,JPM,52 Week Range,135.19 - 205.88 
4070,JPM,Volume,"6,048,080 "
4071,JPM,Avg. Volume,"9,238,957 "
4072,JPM,Market Cap (intraday),573.214B 
4073,JPM,Beta (5Y Monthly),1.11
4074,JPM,PE Ratio (TTM),12.05 
4075,JPM,EPS (TTM),16.57 
4076,JPM,Earnings Date,"Jul 12, 2024"
4077,JPM,Forward Dividend & Yield,4.60 (2.30%)
4078,JPM,Ex-Dividend Date,"Jul 5, 2024"
4079,JPM,1y Target Est,208.05 
4080,JNPR,Previous Close,35.43 
4081,JNPR,Open,35.39 
